HomeTeam,AwayTeam,FTR,
Charlton,Man City,H,
Chelsea,West Ham,H,
Coventry,Middlesbrough,A,
Derby,Southampton,D,
Leeds,Everton,H,
Leicester,Aston Villa,D,
Liverpool,Bradford,H,
Sunderland,Arsenal,H,
Tottenham,Ipswich,H,
Man United,Newcastle,H,
Arsenal,Liverpool,H,
Bradford,Chelsea,H,
Ipswich,Man United,D,
Middlesbrough,Tottenham,D,
Everton,Charlton,H,
Man City,Sunderland,H,
Newcastle,Derby,H,
Southampton,Coventry,A,
West Ham,Leicester,A,
Arsenal,Charlton,H,
Bradford,Leicester,D,
Everton,Derby,D,
Ipswich,Sunderland,H,
Man City,Coventry,A,
Middlesbrough,Leeds,A,
Newcastle,Tottenham,H,
Southampton,Liverpool,D,
West Ham,Man United,D,
Aston Villa,Chelsea,D,
Leeds,Man City,A,
Man United,Bradford,H,
Sunderland,West Ham,D,
Tottenham,Everton,H,
Charlton,Southampton,D,
Chelsea,Arsenal,D,
Coventry,Newcastle,A,
Derby,Middlesbrough,D,
Leicester,Ipswich,H,
Liverpool,Aston Villa,H,
Bradford,Arsenal,D,
Coventry,Leeds,D,
Ipswich,Aston Villa,A,
Leicester,Southampton,H,
Liverpool,Man City,H,
Man United,Sunderland,H,
Middlesbrough,Everton,A,
Newcastle,Chelsea,D,
Derby,Charlton,D,
Tottenham,West Ham,H,
Arsenal,Coventry,H,
Aston Villa,Bradford,H,
Charlton,Tottenham,H,
Everton,Man United,A,
Leeds,Ipswich,A,
Southampton,Newcastle,H,
Sunderland,Derby,H,
Chelsea,Leicester,A,
Man City,Middlesbrough,D,
West Ham,Liverpool,D,
Bradford,Southampton,A,
Coventry,West Ham,A,
Derby,Leeds,D,
Ipswich,Arsenal,D,
Liverpool,Sunderland,D,
Man United,Chelsea,D,
Middlesbrough,Aston Villa,D,
Newcastle,Charlton,A,
Tottenham,Man City,D,
Leicester,Everton,D,
Aston Villa,Derby,H,
Charlton,Coventry,D,
Everton,Ipswich,A,
Leeds,Tottenham,H,
Man City,Newcastle,A,
Southampton,Middlesbrough,A,
West Ham,Bradford,D,
Arsenal,Man United,H,
Chelsea,Liverpool,H,
Sunderland,Leicester,D,
Arsenal,Aston Villa,H,
Coventry,Tottenham,H,
Everton,Southampton,D,
Ipswich,West Ham,D,
Leeds,Charlton,H,
Leicester,Man United,A,
Man City,Bradford,H,
Sunderland,Chelsea,H,
Derby,Liverpool,A,
Middlesbrough,Newcastle,A,
Bradford,Ipswich,A,
Charlton,Middlesbrough,H,
